"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Clic1",0.128016780295189,-0.26824116392059,0.128,0.178,1
"Mfge8",0.130438455203215,-0.25323717636117,0.101,0.144,1
"Ahnak",0.132122155776744,0.316182290918529,0.351,0.277,1
"Cox5b",0.132319188158181,-0.270311504533796,0.115,0.157,1
"Aprt",0.141122360821144,-0.270599918431209,0.142,0.185,1
"Gnb1",0.142133248874739,-0.293809556550837,0.122,0.159,1
"Capzb",0.146495924547829,-0.304784769446587,0.182,0.219,1
"Cndp2",0.149184562080152,-0.277473257337763,0.122,0.159,1
"Morf4l1",0.149708365027415,-0.273110088683962,0.108,0.149,1
"Pfn1",0.151863362384865,-0.342715983339575,0.385,0.392,1
"Ubc",0.165901725556668,-0.302091285401666,0.203,0.24,1
"Rab7",0.171745147476085,-0.325978778625674,0.223,0.251,1
"Cd68",0.173293734853501,-0.286377990573525,0.088,0.123,1
"Rps28",0.175861750798052,-0.260670388576198,0.399,0.397,1
"1810058I24Rik",0.180597703960753,-0.271148716098773,0.081,0.115,1
"Scp2",0.186707988543438,-0.258471951373044,0.088,0.123,1
"Atp5l",0.203512486845467,-0.341737829125285,0.23,0.251,1
"Cish",0.203589829618355,0.333121016351346,0.115,0.081,1
"Eif4g2",0.221086527361152,-0.284029098411759,0.203,0.23,1
"Itgam",0.226116570183358,-0.301084402246359,0.182,0.217,1
"Mt2",0.227206506807569,-0.327486342049386,0.162,0.196,1
"F10",0.230081303609344,-0.256546357819487,0.088,0.12,1
"Cox8a",0.237472500885218,-0.328328699379446,0.223,0.251,1
"Mapk3",0.238679792081493,-0.286747802319933,0.122,0.151,1
"Rbx1",0.254266056339247,-0.272759115422773,0.108,0.141,1
"Klf6",0.256184643354524,-0.264801122190915,0.155,0.185,1
"Fam129b",0.266221579508455,-0.298123841486954,0.088,0.115,1
"Rps21",0.280571336228346,0.256240346178568,0.399,0.313,1
"Gm42418",0.342586668649556,0.591012272866489,1,1,1
"Mpc1",0.354674727697138,-0.261779237103102,0.169,0.185,1
"Hint1",0.425788145809222,-0.297191208615497,0.196,0.209,1
"Ywhab",0.42775932286635,-0.272286899023471,0.101,0.117,1
"Cox4i1",0.429732556501318,-0.299278923174398,0.304,0.298,1
"Osbpl8",0.900664964848174,-0.273283282291299,0.155,0.138,1
