"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lrp1",3.45229422111816e-63,-0.517905834107924,0.949,0.963,5.93587468379056e-59
"Rpl29",4.38861578535173e-63,0.457777054180335,0.992,0.979,7.54578598133377e-59
"Rbms1",8.18306724163429e-63,-0.471852072948828,0.967,0.988,1.4069965815266e-58
"Ap2s1",9.1597219300532e-63,-0.499840346661245,0.945,0.972,1.57492258865335e-58
"Anxa1",2.84577735847429e-62,-0.669487912079992,0.934,0.96,4.8930295901607e-58
"Rplp2",3.37779961418361e-62,0.312521362020679,0.999,0.999,5.8077886566273e-58
"Crip1",7.04446310131363e-62,0.805479826325125,0.874,0.644,1.21122498563987e-57
"F13a1",7.50971113160436e-62,-1.59867156901943,0.135,0.45,1.29121973196805e-57
"Pfdn5",3.82104539124626e-61,0.450882863259392,0.991,0.963,6.56990544570882e-57
"Wfdc17",9.64264005033083e-61,-0.766106718419579,0.994,0.997,1.65795553025388e-56
"Prdx1",1.29169067631606e-60,-0.674924029168301,0.998,0.998,2.22093294885783e-56
"Maf",1.54385213658822e-60,-1.31499669831983,0.346,0.617,2.65449936364978e-56
"Gas7",2.38554227926504e-60,-0.529962808578977,0.445,0.692,4.1017013949683e-56
"Klhl24",5.72562548719268e-60,0.380529843662366,0.618,0.27,9.8446404626791e-56
"Rpl4",2.4451407694637e-59,0.444408780109075,0.992,0.969,4.20417503901588e-55
"Ly86",7.61455769471387e-59,0.516735079402197,0.496,0.193,1.3092470500291e-54
"Sirpb1c",2.24312884746393e-58,0.466009647678882,0.791,0.458,3.85683574032948e-54
"Selenow",2.67529634606795e-58,-0.519556871629135,0.853,0.896,4.59990453742924e-54
"Fam129a",8.1719606907308e-58,0.386622324669135,0.584,0.247,1.40508692116425e-53
"Ftl1",2.95532989568227e-57,-0.391925145875987,1,1,5.08139422263609e-53
"Gm2a",8.78177346992445e-57,0.545911161135832,0.992,0.963,1.50993813041881e-52
"Rps26",1.32123896899553e-56,0.344278802898366,1,0.996,2.27173828329092e-52
"Zranb3",1.42320899253552e-56,-0.55188479887401,0.122,0.405,2.44706554176557e-52
"Pcbp2",7.43819046749584e-56,0.408634107077684,0.994,0.97,1.27892246898123e-51
"Use1",9.0402970199666e-55,0.46578315587397,0.887,0.632,1.55438866961306e-50
"mt-Cytb",1.04404226186539e-54,0.370359575517872,0.999,0.999,1.79512626505136e-50
"Smpdl3a",1.04844744219826e-54,0.587429116688951,0.929,0.744,1.80270053211569e-50
"Eif3h",2.1992998098689e-54,0.430921946407687,0.961,0.861,3.78147609308858e-50
"Ccl4",8.85283110627492e-54,-1.4510142894412,0.249,0.518,1.52215578041291e-49
"Rgs2",1.29120535434824e-53,0.520184339378,0.726,0.399,2.22009848626636e-49
"Atp6v1e1",1.51832162190646e-53,-0.438086859662253,0.972,0.979,2.61060219670598e-49
"Alcam",3.85794896927993e-53,-0.540921456528329,0.796,0.862,6.63335745777992e-49
"Ssh2",4.43115195739699e-53,0.36302316102678,0.652,0.312,7.61892267554838e-49
"Sowahc",6.15020523173551e-53,0.42511971899768,0.572,0.248,1.0574662875446e-48
"Rhob",7.56840822118949e-53,-0.614152134023376,0.563,0.724,1.30131210955132e-48
"Rps24",9.16006624186525e-53,0.321660618463341,1,0.998,1.57498178962631e-48
"Tmcc3",1.38340981620177e-52,0.264060943147077,0.47,0.166,2.37863483797732e-48
