"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Stap2",4.14091658873256e-127,-0.282364020309527,0.057,0.474,7.11989198266676e-123
"Akap13",6.58716676627815e-127,-0.559424298167595,0.945,0.946,1.13259745379387e-122
"Etv3",1.14044135898076e-126,-0.667871011898831,0.804,0.935,1.96087487263152e-122
"Uqcrh",1.59217053798927e-126,-0.442420741585506,0.993,0.971,2.73757802301875e-122
"Fam46a",6.95451285729311e-126,0.607490517086012,0.796,0.353,1.19575894068298e-121
"Kansl3",9.25560039328599e-126,-0.578987006266258,0.463,0.773,1.59140793162159e-121
"Lmo2",1.24193314350203e-125,0.364437435858927,0.694,0.194,2.13537984693739e-121
"Rnf130",2.93653833737209e-125,0.452220391221919,0.923,0.612,5.04908401727758e-121
"Syngr2",4.8657277866515e-125,-0.513513598037896,0.98,0.963,8.36613235636859e-121
"Ankrd44",5.74680829251862e-125,-0.636317980675879,0.774,0.913,9.88106217815651e-121
"Eef1g",5.78070460326629e-125,0.503069001357355,0.989,0.917,9.93934349485605e-121
"Foxp4",7.76425380049457e-125,-0.356495562158734,0.168,0.613,1.33498579845704e-120
"Scd2",2.2580174293857e-124,0.685946617796088,0.876,0.47,3.88243516808578e-120
"Spcs2",2.85123333931611e-124,0.516654017098536,0.936,0.731,4.90241060362012e-120
"Clec10a",4.27869231943785e-124,0.804265018367392,0.684,0.192,7.35678357404143e-120
"Sox4",6.47873085885701e-124,-0.571076449378386,0.027,0.411,1.11395298387187e-119
"Srebf2",8.99415347457694e-124,0.437994915831468,0.892,0.544,1.54645474841876e-119
"Fcgrt",1.85128558810082e-123,0.555847536212728,0.839,0.459,3.18310044018055e-119
"Cebpd",3.53994174357218e-123,0.380021572075552,0.714,0.237,6.08657583389801e-119
"Igsf8",1.61744829580378e-122,0.349335383306325,0.666,0.174,2.78104059980502e-118
"Comt",1.69005053969102e-122,0.394461134156057,0.851,0.497,2.90587289794475e-118
"Ndufb8",1.95883126710558e-122,0.435098130919152,0.975,0.882,3.36801448066134e-118
"Psme1",3.74194004136368e-122,-0.522842980287284,0.972,0.956,6.43389170712071e-118
"Prdx1",3.87549904031786e-122,0.582359523137388,0.99,0.929,6.66353304992252e-118
"Rab8b",8.27422040739937e-122,-0.618939499482001,0.834,0.916,1.42266945684825e-117
"Pdlim4",8.50237362754125e-122,-0.454082028348676,0.006,0.358,1.46189812151944e-117
"4930512J16Rik",1.00811729328262e-121,0.281556975387743,0.574,0.092,1.73335687407014e-117
"Crebl2",1.44299151613418e-121,-0.390067361708241,0.201,0.636,2.48107961284112e-117
"C1qa",1.80436183302783e-121,1.59866694135801,0.63,0.152,3.10241973570805e-117
"Serpina3g",2.50752976880978e-121,-0.285401834248832,0.039,0.431,4.31144668449154e-117
"Aplp2",3.59303109493986e-121,-0.652981712778644,0.854,0.932,6.1778576646396e-117
"Sigmar1",3.81546534339109e-121,0.3174723369895,0.575,0.095,6.56031111142664e-117
"Vamp5",5.49916020731448e-121,0.390132325186608,0.534,0.058,9.45525606045652e-117
"Hsf2",7.9030264057382e-121,-0.405109487541424,0.157,0.583,1.35884636020263e-116
"Bri3",9.00475475074725e-121,-0.556399091930369,0.974,0.962,1.54827753184348e-116
"Rab24",1.24314078477053e-120,0.399999165153189,0.835,0.439,2.13745626533445e-116
"Gpcpd1",1.71325047789934e-120,-0.525651644136136,0.406,0.772,2.94576287170013e-116
"Nars",2.54231447406127e-120,0.445045334740807,0.919,0.65,4.37125550670095e-116
"Vasp",2.75378878400777e-120,0.47789669402172,0.976,0.857,4.73486443522297e-116
"Fnbp1",2.97230648400233e-120,-0.598980924651677,0.859,0.934,5.11058376859361e-116
"Egr1",3.30201916045686e-120,0.488405252892436,0.578,0.096,5.67749174448953e-116
"Nrg1",3.31512858195641e-120,-0.452478517744272,0.145,0.581,5.70003208381585e-116
"Hexa",5.37719830695637e-120,0.489482759843597,0.95,0.669,9.24555476898079e-116
"Ppp1r12a",6.68863328830699e-120,-0.583428076829841,0.843,0.924,1.1500436075915e-115
"Ddx21",8.31667827749358e-120,0.41041598379271,0.774,0.357,1.42996966303225e-115
