"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Imp31",2.28861820843294e-135,0.302957989231352,0.911,0.355,3.9350501475796e-131,"11","Imp3"
"Ptpn182",2.46975970119634e-135,0.589394236511241,0.992,0.585,4.24650483023699e-131,"11","Ptpn18"
"Rps123",4.17297737967292e-135,0.502832786549587,1,0.955,7.17501730660962e-131,"11","Rps12"
"Enah1",1.87483376572713e-134,0.252835291404052,0.926,0.335,3.22358917679123e-130,"11","Enah"
"Syngr22",7.45512000457888e-134,0.497473939491224,0.979,0.524,1.28183333358729e-129,"11","Syngr2"
"Snrpg1",1.38812238214893e-133,0.467637311568093,0.965,0.528,2.38673762386687e-129,"11","Snrpg"
"Plekho13",1.6710730027595e-133,0.509191744306949,0.977,0.474,2.87324292094469e-129,"11","Plekho1"
"Rpl36al4",8.37741914933459e-133,0.504041348263628,0.981,0.549,1.44041344853659e-128,"11","Rpl36al"
"Baiap21",1.10969255459648e-132,0.312217399454122,0.895,0.333,1.90800537837319e-128,"11","Baiap2"
"Fam129a3",1.89442693195105e-132,0.313348055080679,0.934,0.351,3.25727766679663e-128,"11","Fam129a"
"Dynll21",3.09535311744521e-132,0.336857663659932,0.928,0.366,5.3221501501353e-128,"11","Dynll2"
"Naca3",1.1821631646125e-131,0.569311170679636,0.998,0.809,2.03261134523473e-127,"11","Naca"
"S100a105",1.46487687750488e-131,0.611003166589171,0.996,0.732,2.5187093031819e-127,"11","S100a10"
"Odc1",2.75331952920736e-131,0.428299537424168,0.932,0.408,4.73405759851913e-127,"11","Odc1"
"2410002F23Rik1",3.04001082524911e-131,0.266228286951369,0.744,0.234,5.22699461293332e-127,"11","2410002F23Rik"
"Ebna1bp2",3.61905400060504e-131,0.258854710499597,0.88,0.322,6.22260144864031e-127,"11","Ebna1bp2"
"Manf2",7.65893525711315e-131,0.519766498698218,0.988,0.521,1.31687732810803e-126,"11","Manf"
"Mrpl12",2.49473157909516e-130,0.373936666821028,0.965,0.437,4.28944147709621e-126,"11","Mrpl12"
"Ifitm13",2.71599401041678e-130,0.785288265282829,1,0.764,4.66988010151061e-126,"11","Ifitm1"
"Sms1",3.24645670915028e-130,0.261030698533104,0.804,0.275,5.58195766571299e-126,"11","Sms"
"Bckdk",3.25648445387362e-130,0.260546036236236,0.857,0.314,5.59919936999031e-126,"11","Bckdk"
"Haus81",4.05337059880591e-130,0.391841453552955,0.909,0.37,6.96936540758688e-126,"11","Haus8"
"Idh3g",5.99175769811882e-130,0.277276366153238,0.909,0.356,1.03022281861455e-125,"11","Idh3g"
"Snrpb1",1.18556951659739e-129,0.486794047942386,0.988,0.67,2.03846822683755e-125,"11","Snrpb"
"Bub3",2.6280031940099e-129,0.447895317996662,0.934,0.443,4.51858869178062e-125,"11","Bub3"
"Krtcap22",6.59698707242531e-129,0.480931647124915,0.981,0.532,1.13428595723281e-124,"11","Krtcap2"
"Akr1b33",7.66689005951181e-129,0.359992488822679,0.921,0.396,1.31824507683246e-124,"11","Akr1b3"
"Idh22",1.13725922028237e-128,0.340532173401651,0.882,0.352,1.9554035033535e-124,"11","Idh2"
"Tcp12",5.00020808616145e-128,0.463525350285958,0.979,0.548,8.59735778334599e-124,"11","Tcp1"
"Cct21",5.52603029548952e-128,0.472377647772764,0.986,0.558,9.50145649006467e-124,"11","Cct2"
"Acot72",1.57827278327805e-127,0.260364700936318,0.849,0.307,2.71368222356827e-123,"11","Acot7"
"Rwdd11",6.78981331373421e-127,0.544444039793528,0.99,0.638,1.16744050116346e-122,"11","Rwdd1"
"Dbnl2",1.5803312484737e-126,0.423550042496431,0.969,0.512,2.71722154862569e-122,"11","Dbnl"
"Olfm13",1.76847657592116e-126,0.348850576202525,0.919,0.336,3.04071862463884e-122,"11","Olfm1"
"Prpf31",3.48174064225079e-126,0.263423625434956,0.913,0.349,5.98650486028602e-122,"11","Prpf31"
"Rpl383",1.42434011809035e-125,0.487155048192947,1,0.902,2.44901039904455e-121,"11","Rpl38"
"Dst1",2.01950226955092e-125,0.330021229163079,0.752,0.251,3.47233220226586e-121,"11","Dst"
"Lsm7",4.57739640526733e-125,0.251750422909646,0.849,0.313,7.87037537921664e-121,"11","Lsm7"
"Atpif13",5.23377906428267e-125,0.490441515166605,0.992,0.788,8.99895972312762e-121,"11","Atpif1"
"Dazap1",8.11742185591546e-125,0.295376404613676,0.924,0.373,1.3957095139061e-120,"11","Dazap1"
"Zmiz22",9.82121554425177e-124,0.29995003308429,0.911,0.372,1.68865980067865e-119,"11","Zmiz2"
"Smdt12",1.00453732229815e-123,0.508858479568526,0.996,0.791,1.72720147195944e-119,"11","Smdt1"
"Nol7",1.96817520469439e-123,0.480326454907406,0.983,0.582,3.38408044695153e-119,"11","Nol7"
"Ctnnbip1",2.12751449463441e-123,0.255358663260985,0.814,0.294,3.6580484220744e-119,"11","Ctnnbip1"
"Nap1l13",3.36901916568965e-123,0.55085481653626,0.99,0.612,5.79269155348678e-119,"11","Nap1l1"
"Eif1ad1",5.36170402405946e-123,0.292845720564578,0.897,0.367,9.21891389896784e-119,"11","Eif1ad"
"Hspa84",5.86542610426017e-123,0.554998533216049,1,0.843,1.00850136436649e-118,"11","Hspa8"
"Srsf21",1.42941707694112e-122,0.50153875482417,0.99,0.609,2.45773972209257e-118,"11","Srsf2"
"Rad211",3.17914388239362e-122,0.368799436295103,0.928,0.399,5.46621999138759e-118,"11","Rad21"
"Rps293",1.06474574999428e-121,0.4093203665636,1,0.968,1.83072384254017e-117,"11","Rps29"
"Snu13",1.37046211274614e-121,0.439429597460521,0.975,0.539,2.35637255665571e-117,"11","Snu13"
"Psmc4",2.35717942137736e-121,0.336751506252456,0.942,0.437,4.05293429711623e-117,"11","Psmc4"
"Sfxn1",4.74061347345515e-121,0.316355850914031,0.913,0.371,8.15101080625878e-117,"11","Sfxn1"
"Nelfe",5.70676648455364e-121,0.277771939504983,0.841,0.32,9.81221429354154e-117,"11","Nelfe"
"Ppib3",6.40437291275233e-121,0.519959952539108,0.994,0.704,1.10116787861864e-116,"11","Ppib"
"Rps193",7.42818583930179e-121,0.472566216971755,1,0.943,1.27720227320955e-116,"11","Rps19"
"Pnn",1.18879072201038e-120,0.392231054789179,0.946,0.457,2.04400676742465e-116,"11","Pnn"
"Phf5a",2.80263035354276e-120,0.288831461318491,0.936,0.406,4.81884262988142e-116,"11","Phf5a"
"Rps216",3.30184821355568e-120,0.48529224967539,1,0.914,5.67719781838764e-116,"11","Rps21"
"Fdps2",3.97017885405499e-120,0.403197638142232,0.938,0.415,6.82632552166216e-116,"11","Fdps"
"Psmb21",5.39006154724464e-120,0.466845008311305,0.986,0.593,9.26767182433243e-116,"11","Psmb2"
"Suclg11",1.06431312747902e-119,0.368460070724305,0.955,0.461,1.82997999138744e-115,"11","Suclg1"
"Rpl244",3.42598264141832e-119,0.480297583213881,1,0.893,5.89063455365465e-115,"11","Rpl24"
"Kpnb11",3.65436642175289e-119,0.316326587528963,0.942,0.419,6.28331762556191e-115,"11","Kpnb1"
"Etfa",4.91049169755156e-119,0.330833696118232,0.942,0.423,8.44309942477015e-115,"11","Etfa"
"Eif3f3",8.799729655377e-119,0.503433998056546,0.99,0.7,1.51302551694552e-114,"11","Eif3f"
"Supt16",8.98490604786794e-119,0.408951052367518,0.948,0.498,1.54486474587041e-114,"11","Supt16"
"Ly862",1.2219381222665e-118,0.308468792033137,0.56,0.159,2.10100040742502e-114,"11","Ly86"
"Rplp23",1.42763473137347e-118,0.408989710902186,1,0.954,2.45467515712354e-114,"11","Rplp2"
"Hsp90aa11",1.98962043597765e-118,0.527850627732021,0.996,0.694,3.42095337761998e-114,"11","Hsp90aa1"
"Lsm4",2.27818913356969e-118,0.436771070513083,0.975,0.559,3.91711839625973e-114,"11","Lsm4"
