"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Mcl1",1.91842660882189e-05,-1.00273959158937,0.571,0.902,0.329854271120836,1.05939209028849e-08,-0.616823216963381,0.734,0.878,0.000182151876004203,1.91842660882189e-05,2.11878416935386e-08
"Cyba",0.000133402757215989,-0.87476550420803,0.857,0.934,1,1.24703753492692e-08,-0.409222069815359,0.969,0.958,0.000214415633755335,0.000133402757215989,2.49407505430282e-08
"F7",0.00244390154616773,-0.790003509637435,0,0.42,1,1.25943815639704e-08,-0.799859143051208,0.141,0.497,0.000216547796610907,0.00244390154616773,2.51887629693223e-08
"Zeb2",0.0402944902398644,-0.552927324263776,0.5,0.731,1,1.35173156596675e-08,-0.759794411331956,0.422,0.712,0.000232416725452324,0.0402944902398644,2.70346311366172e-08
"Arsb",0.000172663729668933,1.59877886054881,0.5,0.19,1,1.36726253166168e-08,0.454789835482438,0.359,0.139,0.000235087119693909,0.000172663729668933,2.73452504462929e-08
"Nop53",0.115175801071221,0.527985147443868,0.714,0.661,1,1.39024730783718e-08,0.550200328764662,0.641,0.376,0.000239039122109525,0.115175801071221,2.78049459634649e-08
"Malt1",0.003053291165248,-0.623512734827619,0.143,0.537,1,1.4424560424245e-08,-0.812296753505042,0.172,0.515,0.000248015891934468,0.003053291165248,2.8849120640422e-08
"Tal1",0.00678653791888942,0.313073519519417,0.286,0.094,1,1.44440457999672e-08,0.282143055377456,0.266,0.082,0.000248350923484636,0.00678653791888942,2.88880913913039e-08
"Dhrs1",0.059285734995009,0.359879661402192,0.571,0.465,1,1.54902008073652e-08,0.689970444511239,0.578,0.332,0.000266338512681838,0.059285734995009,3.09804013747842e-08
"Rpia",0.00144995684655832,0.387064237474772,0.571,0.276,1,1.83591207232251e-08,0.331431359564214,0.391,0.162,0.000315666721715133,0.00144995684655832,3.67182411093928e-08
"Abhd17c",0.560033455873074,0.419167872168897,0.286,0.267,1,1.9385811894903e-08,0.427110116891851,0.453,0.199,0.000333319649720963,0.560033455873074,3.87716234139964e-08
"Hsp90b1",0.000347996699511783,0.976747875332434,0.929,0.784,1,2.1408088782179e-08,0.749673456157704,0.859,0.727,0.000368090678520785,0.000347996699511783,4.28161771060516e-08
"Ap3s1",5.35581466745405e-06,0.846671289506182,0.929,0.73,0.092087877392205,2.20937716622001e-08,0.517887083911448,0.828,0.644,0.000379880309959868,5.35581466745405e-06,4.41875428362654e-08
"Capg",0.000114020409216917,-0.757098746007194,0.5,0.892,1,2.4625969529821e-08,-0.562689129316545,0.828,0.882,0.000423418920095742,0.000114020409216917,4.92519384532036e-08
"Il1r2",0.021559624748054,-0.550676437822243,0.071,0.406,1,2.46437569139989e-08,-1.24726296164473,0.109,0.443,0.000423724756379297,0.021559624748054,4.9287513220683e-08
"Dnajc15",0.000519151818456877,-0.660787036870133,0.214,0.7,1,2.61254181293129e-08,-0.629406023974305,0.234,0.553,0.000449200439315406,0.000519151818456877,5.22508355760882e-08
"Csf3r",0.153368655473559,-0.701632526335881,0.071,0.222,1,2.89025845576136e-08,-1.29833044744628,0.094,0.434,0.000496951038883607,0.153368655473559,5.78051682798676e-08
"Tmem229b",0.012229876906173,0.40610316669591,0.429,0.211,1,2.94004599043595e-08,0.327525306590475,0.312,0.112,0.000505511507595557,0.012229876906173,5.88009189443318e-08
