"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rgl1",7.41538851111927e-16,-0.418896522938376,0.397,0.463,1.27500190060185e-11
"Basp1",1.0971645876907e-15,-0.361079683175044,0.764,0.78,1.88646479207539e-11
"Heatr1",2.58860116848199e-15,-0.413830728543766,0.261,0.332,4.45084084908793e-11
"Ninj1",7.82380133068749e-15,-0.349998987337408,0.729,0.698,1.34522440079841e-10
"Msr1",9.91031886798226e-15,-0.432487043595083,0.352,0.418,1.70398022616087e-10
"Ctsl",1.20942556989604e-14,-0.290892690422284,0.771,0.738,2.07948632487925e-10
"Jun",4.20159369283203e-14,-0.3560378789313,0.578,0.586,7.22422019545539e-10
"Card19",5.36748114879428e-14,-0.271620360501043,0.842,0.763,9.22884708723689e-10
"Ear6",1.01845998764542e-13,-0.406864990167891,0.186,0.296,1.75114010275753e-09
"Dock10",1.31265336458795e-13,-0.344224311707323,0.746,0.717,2.25697619507253e-09
"Rbpj",2.01941405285628e-13,-0.26360797146681,0.828,0.766,3.4721805224811e-09
"Nisch",2.07680641626636e-13,-0.364477365280245,0.717,0.641,3.57086095212838e-09
"Adgrl2",3.2164645915972e-13,-0.362169372682618,0.198,0.284,5.53038921879222e-09
"Srgn",4.26942671072386e-13,-0.334933077986595,0.809,0.789,7.3408522864186e-09
"2010111I01Rik",5.55285230194359e-13,-0.392286333961436,0.446,0.465,9.54757424796181e-09
"Sphk1",8.45364645332524e-13,-0.262837607199166,0.074,0.157,1.45351997118474e-08
"Cxcl2",1.33165973342073e-12,-0.562205736543599,0.196,0.295,2.2896557456436e-08
"Tnfsf14",4.97327672205544e-12,-0.323774357499887,0.136,0.216,8.55105199590212e-08
"Gas7",5.01556900218219e-12,-0.36804645738267,0.407,0.437,8.62376934235206e-08
"Fndc3a",5.8414880630269e-12,-0.310916983626254,0.685,0.644,1.00438545755684e-07
"Csf2rb2",1.07239874576784e-11,-0.32433321340482,0.658,0.627,1.84388240347322e-07
"Atp2b1",3.02480654895733e-11,-0.29007194718873,0.796,0.72,5.20085238027724e-07
"Ndrg1",4.41035422657123e-11,-0.384475057823972,0.258,0.324,7.58316305716656e-07
"Eps8",1.44307472833753e-10,-0.363072035778163,0.504,0.489,2.48122268790356e-06
"Mt2",3.24032829013377e-10,-0.591553762360358,0.469,0.5,5.571420462056e-06
"Slc39a2",6.49550957472407e-10,-0.351315075247477,0.159,0.233,1.11683791627806e-05
"Il7r",1.20892027793964e-09,-0.380113014279546,0.188,0.262,2.07861752588942e-05
"Sod2",2.44183732282715e-09,-0.398554756817491,0.763,0.699,4.19849509286899e-05
"Lpl",3.49953579531308e-09,-0.31066448044834,0.391,0.465,6.01710184646131e-05
"Mfsd1",4.4429589410328e-09,-0.326235104193838,0.615,0.549,7.6392236032118e-05
"Fnip2",8.18544339231248e-09,-0.31555277630464,0.619,0.598,0.000140740513687421
"Atf3",8.40902731232595e-09,-0.346205780860635,0.272,0.331,0.000144584815608132
"Cmklr1",1.06928300090982e-08,-0.356254831760239,0.294,0.331,0.000183852519176435
"Cdk6",1.22695989601211e-08,-0.37689014235262,0.383,0.399,0.000210963484520322
"Ngp",1.3264163134872e-08,-0.264597889893029,0.053,0.11,0.00022806402094099
"Lat2",1.59028939206312e-08,-0.318688324935184,0.296,0.344,0.000273434358071333
"Slc43a2",4.18453231089761e-08,-0.260200479713048,0.776,0.689,0.000719488485535736
"Gclm",5.33269231450934e-08,-0.309489348497552,0.684,0.624,0.000916903116556736
"Ifrd1",7.71276965965333e-08,-0.326674032746371,0.517,0.501,0.00132613361528079
"Tgfbi",9.30666741370877e-08,-0.333826517931718,0.701,0.652,0.00160018839511309
"Socs3",1.27066980115904e-07,-0.307399988554126,0.244,0.291,0.00218478965611286
"Slc7a11",1.38490290418897e-07,-0.274856932562058,0.629,0.638,0.00238120205346251
"Malt1",1.46132949951261e-07,-0.3978503963848,0.477,0.47,0.00251260994146198
"Nek6",1.51298622202023e-07,-0.270413654365937,0.631,0.581,0.00260142851014159
"Pf4",1.52297467848922e-07,-0.538806022654999,0.161,0.225,0.00261860266219436
"Tapbp",2.05882579814378e-07,-0.280793493288341,0.812,0.698,0.00353994507732842
"Fyb",2.31454367400615e-07,-0.348448710758611,0.598,0.558,0.00397962639308618
"Serpinb2",2.46285745668035e-07,-0.38300051962397,0.168,0.226,0.0042346371110162
"Creg1",5.89112451785523e-07,-0.301293543221926,0.928,0.869,0.0101291994960003
"Alcam",9.07063765382929e-07,-0.297846767753565,0.62,0.569,0.0155960543819941
"Eid1",9.48164481419772e-07,-0.33458362484204,0.377,0.382,0.0163027400935316
"Gpr141",9.53329007749904e-07,-0.250975521227855,0.712,0.638,0.0163915389592519
"Ppt1",2.96278422682835e-06,-0.357253283115024,0.515,0.47,0.0509421119960866
"Clec4e",5.57033023304364e-06,-0.501605430754503,0.422,0.422,0.0957762580269524
"Bhlhe41",9.04559072004483e-06,-0.29881369715954,0.29,0.333,0.155529886840451
"S100a8",1.16872132851566e-05,0.419189047749986,0.899,0.853,0.200949945224982
"Ptafr",1.50149847558202e-05,-0.377752532024956,0.533,0.484,0.258167647891572
"Il15",2.37618672897683e-05,-0.271834168051506,0.118,0.159,0.408561546180277
"Tlr2",3.03277147780326e-05,-0.340461770614477,0.567,0.526,0.521454727893493
"Cdk18",3.44221869852393e-05,-0.3210023162221,0.309,0.323,0.591855083024204
"Por",3.53410323880551e-05,-0.36405861099365,0.536,0.482,0.607653710880219
"Nceh1",5.72703791183471e-05,-0.255231822677385,0.66,0.578,0.98470689856086
"BC100530",0.000113814942759734,-0.301977396490978,0.091,0.133,1
"F7",0.000131542934929223,-0.305469467320608,0.378,0.389,1
"Bcl2l1",0.000385820903905503,-0.263342128841943,0.494,0.453,1
"Socs1",0.000471065401396951,-0.262556137823755,0.3,0.311,1
"Gm5483",0.000485459548080236,-0.311446998881864,0.27,0.316,1
"Ppp4r2",0.000561525082413223,-0.314397484358712,0.489,0.44,1
"Cd274",0.000881001927312907,-0.275102291494767,0.642,0.562,1
"Epb41l2",0.00100146284856405,-0.295140862812989,0.416,0.384,1
"Mapkapk2",0.00116015585999257,-0.254157400793403,0.661,0.569,1
"Myof",0.00180720934355724,-0.266883400188416,0.362,0.358,1
"Mxd1",0.00247624762625885,-0.321907379463177,0.399,0.377,1
"Hcar2",0.00257161537505053,-0.405692746858531,0.192,0.218,1
"Nampt",0.00398152580930821,-0.301874947634387,0.559,0.493,1
"Bcl2l11",0.00406565211455532,-0.296337667561217,0.47,0.427,1
"Zfp36",0.00534375797719583,-0.26799655378315,0.625,0.541,1
"E230032D23Rik",0.00600666803579673,-0.314356171652541,0.421,0.384,1
"Csf1",0.00642154555920189,-0.315812567804138,0.436,0.414,1
"P2ry14",0.00669469292974283,-0.265511006998838,0.488,0.45,1
"Nfkbia",0.00709543568633844,-0.265229068624562,0.665,0.588,1
"Il1rn",0.00921064282404058,-0.290859385262349,0.742,0.665,1
"Cxcl3",0.00986167603177004,-0.348803280181716,0.125,0.152,1
"Acod1",0.0128283002216912,-0.291740554382613,0.174,0.195,1
"Azin1",0.0137436083242776,-0.289223142569182,0.505,0.442,1
"S100a4",0.0295678632502848,-0.265986122139038,0.473,0.459,1
"Rasa2",0.0305078210030392,-0.260499811122048,0.438,0.383,1
"2010005H15Rik",0.0306871203077399,-0.401891195925035,0.217,0.233,1
"Gng2",0.0390529998756092,-0.263325732769616,0.563,0.465,1
"Pglyrp1",0.0546807045370656,-0.261861807370594,0.326,0.255,1
"Mdm2",0.0791887945302997,-0.303762875471391,0.554,0.465,1
"Vav1",0.0874411090792145,-0.250760761706583,0.534,0.443,1
"Camk2d",0.0958781748457327,-0.274972632169041,0.439,0.382,1
"Fas",0.107096368890127,-0.289013427171697,0.311,0.288,1
"Txnrd1",0.177266789755665,-0.260786876961271,0.573,0.481,1
"Tma16",0.213986493151545,-0.30702690256252,0.332,0.304,1
"Lcn2",0.269293444432327,-0.264704606289613,0.418,0.393,1
"Slpi",0.765938730958904,-0.332056671929863,0.565,0.486,1
"Hmox1",0.911668174155267,-0.268769844157071,0.431,0.36,1
